"Manufacturer Part Number";"Qty";"Designator";"Customer Supply";"Customer Remark";
"105162-0001";"1";"J9";"";"";
"74LVC1G98GW,125";"6";"U3, U16, U17, U21, U22, U25";"Y";"";
"781710002";"1";"J5";"";"";
"AC0402FR-075K1L";"2";"R42, R43";"";"";
"AP7350-33CF4-7";"1";"U2";"Y";"";
"BKP1005EM100-T";"1";"FB1";"Y";"";
"CIGT201610LH1R0MNE";"3";"L1, L2, L3";"";"";
"CL05B103KB5NNNC";"8";"C28, C30, C32, C33, C35, C37, C40, C64";"";"";
"CL21A106KOQNNNE";"16";"C2, C6, C8, C10, C12, C20, C38, C41, C45, C47, C49, C53, C56, C60, C61, C62";"";"";
"CL21A226MQQNNNG";"3";"C7, C9, C11";"";"";
"CR0402-JW-272GLF";"1";"R7";"";"";
"DMG2305UX";"3";"Q4, Q5, Q6";"Y";"";
"DT1446-04V-7";"1";"U27";"Y";"";
"GRM1555C1H220JA01D";"3";"C17, C18, C21";"";"";
"GRM155R61H104KE19D";"43";"C3, C4, C19, C22, C23, C24, C25, C26, C27, C29, C31, C34, C36, C39, C42, C43, C44, C46, C48, C50, C51, C52, C54, C55, C57, C58, C59, C63, C65, C67, C68, C69, C70, C72, C73, C74, C75, C77, C78, C79, C80, C81, C84";"";"";
"KR DELPS1.22-UHVI-26-H3Q4";"1";"LED2";"";"";
"KS DELLS1.22-JHKI-1";"4";"LED3, LED4, LED5, LED6";"";"";
"KT DELQS1.12-TIVH-36-S446-10-S";"1";"LED1";"";"";
"MCP73831T-2ACI/OT";"1";"U4";"Y";"";
"MSP430FR2433IRGE";"1";"U14";"Y";"";
"NXB0102UNZ";"1";"U15";"";"";
"PMPB10UPX";"3";"Q1, Q2, Q3";"Y";"";
"Q13FC13500005";"1";"X1";"Y";"";
"RB168MM-40";"1";"D1";"Y";"";
"RC0402FR-07100KL";"9";"R1, R4, R5, R10, R11, R12, R13, R15, R17";"";"";
"RC0402FR-13200KL";"1";"R14";"";"";
"RC0402JR-0710KL";"9";"R3, R25, R26, R27, R28, R29, R30, R37, R38";"";"";
"RGC1/16SC1001DTH";"5";"R8, R21, R22, R39, R40";"";"";
"RR0510P-302-D";"2";"R9, R41";"";"";
"SIT8021AI-J4-18S-16.000000E";"2";"X2, X3";"Y";"";
"STN101050B101";"1";"U6";"Y";"";
"TMK105CBJ225KV-F";"14";"C1, C5, C13, C14, C15, C16, C66, C71, C76, C82, C83, C85, C86, C87";"";"";
"TPS2116DRLR";"1";"U1";"Y";"";
"TPS22919DCK";"5";"U5, U10, U11, U12, U13";"Y";"";
"TPS62A01DRLR";"3";"U7, U8, U9";"Y";"";
"TS2306A 240gf MSM 9";"1";"SW1";"Y";"";
"W25Q40EWUXIE";"1";"U20";"Y";"";
"WR04X1000FQL";"5";"R18, R19, R20, R23, R24";"";"";
"WR04X203 JTL";"6";"R31, R32, R33, R34, R35, R36";"";"";
"WR04X3003FTL";"1";"R2";"";"";
"WR04X3653FTL";"2";"R6, R16";"";"";
