Designator,Mid X,Mid Y,Layer,Rotation
C2,6.8609,29.9578,T,0
C3,6.6492,28.6614,T,0
C4,3.9967,25.8610,T,180
C6,41.9030,25.9397,T,270
C9,25.0124,27.3228,T,90
C10,29.2735,27.3783,T,90
C13,8.3576,4.7627,T,90
C14,8.3525,1.8451,T,90
C15,29.8810,9.0794,T,270
C17,16.5439,4.8334,T,270
C18,16.5439,2.7506,T,90
C22,18.8242,3.7871,T,90
C23,10.5671,7.7026,T,90
C24,12.5476,7.4600,T,270
C25,35.1172,26.1725,T,180
C43,25.1927,9.5951,T,0
C44,36.1950,21.3085,T,0
C45,34.0321,13.3310,T,0
C46,30.8790,13.7592,T,180
C48,29.4976,18.5735,T,180
C52,37.6132,19.9680,T,270
C54,29.4976,19.4600,T,180
C55,38.4209,18.2027,T,270
C56,33.7185,21.8120,T,180
C62,8.9714,9.0912,T,90
C63,8.8611,6.4558,T,180
C65,18.8702,5.4338,T,180
C66,30.2634,6.6910,T,0
C67,26.0248,5.4580,T,270
C68,23.2435,3.2558,T,0
C69,24.5719,3.7073,T,90
C72,22.1843,2.3832,T,180
C73,24.1325,5.8408,T,0
C74,25.4457,3.7016,T,90
C75,27.8419,5.1740,T,270
C76,29.3710,4.9962,T,0
C77,22.3672,5.8359,T,180
C78,23.2460,4.9767,T,0
C79,23.2460,4.1150,T,0
C80,29.3548,3.5643,T,270
C81,26.9316,5.1449,T,270
C82,25.2079,7.3217,T,180
C83,28.4821,2.5852,T,270
C84,26.4261,1.9077,T,0
C85,26.3118,3.3808,T,90
C86,25.2095,8.2036,T,180
C87,22.1843,1.5202,T,180
D1,5.9585,25.8391,T,270
L2,25.7084,24.6939,T,180
LED1,33.9174,29.0325,T,270
LED2,33.1674,28.5675,T,90
Q1,29.8830,30.1678,T,0
Q2,38.7959,30.4523,T,0
Q3,38.7968,28.4173,T,180
Q5,5.7515,7.5943,T,180
Q6,12.9232,11.8240,T,270
R5,30.1407,25.0419,T,180
R6,30.5907,28.2524,T,270
R10,41.0378,29.9828,T,270
R11,37.1346,27.5419,T,270
R14,26.3078,26.6167,T,90
R15,26.3027,28.3972,T,90
R18,34.4605,30.5489,T,180
R19,33.1304,30.7489,T,270
R20,33.7681,26.5855,T,90
R26,24.2479,11.9634,T,270
R27,18.6149,7.3814,T,0
R29,28.8575,16.5060,T,135
R30,14.3307,9.7051,T,180
R31,7.6568,10.4049,T,90
R32,10.2843,10.2449,T,90
R33,6.2126,10.3668,T,90
R34,5.0448,10.3592,T,90
R35,12.0618,10.2474,T,90
R36,11.1813,10.2474,T,90
R41,31.5872,7.1382,T,270
SW1,33.5424,4.7500,T,90
U2,4.4382,27.7827,T,0
U3,31.7200,26.4178,T,180
U6,41.8972,30.0285,T,270
U8,27.5676,26.8503,T,90
U10,6.2748,4.9739,T,180
U11,6.2774,2.1356,T,180
U12,28.3470,8.3491,T,270
U14,11.6540,3.7920,T,270
U15,11.6240,7.8380,T,180
U16,35.4965,28.1737,T,270
U20,22.3812,8.7562,T,0
U21,18.6051,8.9429,T,180
U25,15.5731,12.0284,T,270
X1,15.0301,3.7920,T,90
X2,31.2014,21.4445,T,90
C1,37.2802,24.9438,B,270
C5,40.9900,15.5523,B,270
C7,26.9149,22.8829,B,180
C8,25.2665,27.8876,B,90
C11,31.0144,30.6197,B,90
C12,25.3528,30.4063,B,0
C16,34.0629,1.3480,B,90
C19,15.4819,6.3043,B,180
C20,16.3044,7.6404,B,180
C21,15.2305,4.2403,B,90
C26,5.1656,21.7996,B,90
C27,15.0521,13.9943,B,0
C28,15.0521,14.8579,B,0
C29,20.3896,18.8250,B,180
C30,24.0142,20.2474,B,180
C31,26.6126,13.5164,B,180
C32,26.6126,12.6528,B,180
C33,22.3835,17.8242,B,270
C34,20.3896,17.8598,B,180
C35,19.9324,16.4882,B,270
C36,28.0350,21.4920,B,180
C37,27.0114,20.6182,B,180
C38,20.8493,21.9060,B,0
C39,21.0449,20.6005,B,0
C40,30.7001,22.0759,B,270
C41,20.4150,12.9017,B,270
C42,21.7104,13.6409,B,270
C47,29.1094,18.8479,B,0
C49,37.7402,14.3764,B,270
C50,36.4143,15.1471,B,270
C51,34.8449,13.8212,B,0
C53,36.6607,20.9434,B,180
C57,34.0600,20.0533,B,0
C58,12.5030,25.5306,B,225
C59,13.2396,26.2672,B,225
C60,14.4842,23.8542,B,45
C61,10.8266,27.4864,B,45
C64,18.3107,5.2247,B,90
C70,19.4053,8.9704,B,270
C71,18.9699,10.7565,B,90
FB1,38.5232,5.4506,B,180
J5,38.8135,29.5415,B,0
J9,8.7843,4.4815,B,180
L1,24.2631,24.3027,B,270
L3,29.4803,27.9857,B,180
LED3,42.6182,25.0283,B,90
LED4,41.8587,25.0283,B,90
LED5,31.6872,11.0344,B,0
LED6,31.6872,11.9101,B,0
Q4,4.0462,20.4394,B,180
R1,40.3075,5.4564,B,180
R2,34.1321,24.4090,B,180
R3,32.5313,24.6907,B,90
R4,35.9411,24.5001,B,180
R7,39.5125,16.8656,B,90
R8,32.0800,9.4308,B,270
R9,32.5506,8.0433,B,180
R12,27.6794,24.2087,B,180
R13,28.1366,25.5575,B,90
R16,29.6936,29.8983,B,90
R17,29.2517,31.8313,B,180
R21,42.6709,22.8964,B,270
R22,41.7920,22.8964,B,270
R23,21.0297,23.2090,B,0
R24,19.1171,14.5019,B,90
R25,21.9557,16.3913,B,180
R28,30.1122,20.7325,B,180
R37,18.6258,0.9906,B,0
R38,18.3566,1.8466,B,0
R39,33.7904,11.0344,B,180
R40,33.7904,11.9101,B,180
R42,37.4142,3.9708,B,270
R43,35.5092,7.3336,B,0
U1,34.8549,25.9721,B,0
U4,39.6184,18.6461,B,270
U5,34.1851,9.4217,B,0
U7,26.4526,25.4610,B,180
U9,28.4160,30.1777,B,90
U13,36.1370,1.4006,B,180
U17,33.8023,29.4945,B,90
U22,33.5534,21.9202,B,0
U27,36.5316,6.0028,B,180
X3,19.3013,5.1993,B,0
